label,seed,model,n_train,method,std,sigma_rob_zero,sigma_rob_center,mae,mean_bias,median_bias,r2,n_test,train_r2
logg,2,lgbm_pixels,1000,savgol,1.0744846240434114,1.2114470163331845,1.2072383634623332,0.9074579573685578,-0.23543694458606787,-0.22984314587204713,0.10318410263258304,5000,0.9988528673572223
logg,2,lgbm_pixels,1000,noisy,1.1422819756917468,1.3468057058857086,1.3366582739039612,0.9839904626265101,-0.2883256824937717,-0.28441789970273357,-0.02874398891989194,5000,0.9988528673572223
logg,2,lgbm_pixels,3000,clean,0.4681827503609134,0.384463663249437,0.3845960794145933,0.34799801769191424,0.009831133180282234,-0.0022494491593307853,0.8374604889835866,5000,0.9976619937304657
logg,2,lgbm_pixels,3000,bsn,0.8769396079030708,0.8845990563710975,0.8810474038174064,0.7055599208397753,0.042034618745258205,0.057670807225276954,0.42868879652547376,5000,0.9976619937304657
logg,2,lgbm_pixels,3000,boxcar,1.05683574431844,1.148282259178237,1.1179277183324323,0.8811874588449544,-0.2244505945444598,-0.244057224782258,0.1348096440857358,5000,0.9976619937304657
logg,2,lgbm_pixels,3000,savgol,1.0584994049210958,1.144056034921468,1.1166538573725535,0.8807761869218393,-0.2220532120317014,-0.2386899461174905,0.1329946183747911,5000,0.9976619937304657
logg,2,lgbm_pixels,3000,noisy,1.1440723589600545,1.3208651575311752,1.3255558150903803,0.9797872779873985,-0.27400454071853764,-0.2851839254997641,-0.025809006020439673,5000,0.9976619937304657
logg,2,lgbm_pixels,10000,clean,0.33133389164705984,0.2595209758783522,0.25865168875165323,0.2382585753061795,0.0015989389804081885,-0.0011034883123635097,0.91862733976204,5000,0.9852316827817729
logg,2,lgbm_pixels,10000,bsn,0.854929598063977,0.8247709040850018,0.8202455950300434,0.6740210187899511,0.02220523355075908,0.04288271607246519,0.45788645077907264,5000,0.9852316827817729
logg,2,lgbm_pixels,10000,boxcar,1.066380559863604,1.0709522025579794,1.0644502150025108,0.8619013779569197,-0.14237489153372226,-0.17347145022334387,0.14210437169967227,5000,0.9852316827817729
logg,2,lgbm_pixels,10000,savgol,1.0711589051201358,1.0951575808160494,1.0682526611829684,0.8674950289460678,-0.14560549797791,-0.1750920775985758,0.1338442273808207,5000,0.9852316827817729
logg,2,lgbm_pixels,10000,noisy,1.1461495251904248,1.31332130016214,1.2804722620428202,0.9653142145538097,-0.1943634028635761,-0.21611893717347364,-0.0016871861762453033,5000,0.9852316827817729
logg,2,lgbm_pixels,30000,clean,0.28066627292133683,0.21371242768643076,0.2142849480346992,0.19910255624893244,0.0033300324652652193,-0.00356884765319454,0.9416046501388903,5000,0.9715531569684015
logg,2,lgbm_pixels,30000,bsn,0.8470191055359132,0.8055767860973195,0.8079335262428785,0.6659473912980958,0.025307230356031562,0.03040653370323443,0.46775620166609266,5000,0.9715531569684015
logg,2,lgbm_pixels,30000,boxcar,1.0777970846734077,1.0720317616094253,1.0674079103453977,0.8624184315358597,-0.11407947266321776,-0.13980473476390454,0.12933896289592894,5000,0.9715531569684015
